city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,187,3,2,3,-,not acept,furnished,"1,700","8,400",584,127,"10,810"
1,25,1,1,0,23,acept,not furnished,432,"2,200",45,28,"2,705"
1,230,3,4,3,-,acept,not furnished,0,"3,600",409,55,"4,064"
1,17,1,1,0,1,not acept,furnished,300,"2,400",50,31,"2,781"
1,67,2,2,1,17,acept,not furnished,740,"2,200",170,28,"3,138"
1,20,1,1,0,1,acept,furnished,Incluso,"2,060",0,27,"2,087"
1,118,3,2,2,7,acept,furnished,"1,880","8,500",434,108,"10,920"
1,43,1,1,1,2,acept,not furnished,850,"2,430",172,31,"3,483"
1,195,2,3,1,10,acept,not furnished,"1,500","6,000",334,77,"7,911"
1,141,3,4,3,7,not acept,not furnished,"1,646","7,500",735,96,"9,977"
1,45,1,1,1,1,not acept,not furnished,550,"2,300",0,30,"2,880"
1,48,1,1,1,19,acept,not furnished,588,"1,525",0,6,"2,119"
1,280,3,4,2,3,not acept,not furnished,"4,000","6,000","1,059",77,"11,140"
1,170,3,2,2,5,not acept,not furnished,"2,199","5,000",423,64,"7,686"
1,90,3,2,1,-,acept,not furnished,0,"3,260",0,50,"3,310"
0,35,1,1,1,7,acept,not furnished,392,"1,100",13,14,"1,519"
1,16,1,1,0,8,not acept,not furnished,390,"2,300",100,30,"2,820"
0,68,1,1,1,10,not acept,furnished,600,"1,000",48,13,"1,661"
1,80,3,5,2,4,not acept,not furnished,"3,460","12,000","1,000",153,"16,610"
1,190,3,2,1,6,acept,furnished,"3,040","8,000",556,102,"11,700"
1,150,3,4,2,-,not acept,not furnished,0,"3,400",0,52,"3,452"
1,112,3,3,2,12,acept,furnished,"1,100","2,670",188,34,"3,992"
1,145,3,4,3,1,not acept,not furnished,"1,200","6,000",750,77,"8,027"
0,47,1,1,1,8,acept,not furnished,560,"1,100",46,14,"1,720"
1,128,3,2,1,3,acept,furnished,"1,094","4,529",242,58,"5,923"
1,250,3,4,4,-,acept,not furnished,0,"4,500",334,68,"4,902"
1,120,3,1,0,2,acept,not furnished,250,"1,460",0,21,"1,731"
1,110,2,2,2,-,not acept,not furnished,0,"2,700",300,41,"3,041"
1,400,2,5,4,-,acept,not furnished,0,"6,000",484,91,"6,575"
1,35,1,1,1,9,not acept,furnished,"1,050","2,600",317,33,"4,000"
1,107,2,2,2,18,acept,furnished,"1,800","12,800",417,163,"15,180"
1,97,2,2,0,1,acept,not furnished,"1,200","5,600",0,71,"6,871"
1,70,2,1,0,1,not acept,not furnished,350,"1,050",116,14,"1,530"
1,20,1,1,0,3,not acept,furnished,150,"3,142",67,40,"3,399"
1,130,3,2,2,6,acept,not furnished,"1,100","3,500",209,45,"4,854"
1,120,3,2,3,16,acept,not furnished,"1,400","2,000",292,26,"3,718"
1,110,3,3,2,2,acept,furnished,"1,000","3,800",192,49,"5,041"
1,300,3,5,3,-,acept,not furnished,0,"11,900",250,179,"12,330"
1,349,4,5,4,8,not acept,not furnished,"3,100","11,000",0,140,"14,240"
1,97,3,2,2,1,acept,not furnished,730,"3,000",303,39,"4,072"
1,84,4,1,3,5,not acept,not furnished,"1,914","6,000",804,77,"8,795"
1,180,2,2,1,-,not acept,not furnished,0,"2,800",105,43,"2,948"
1,286,4,4,5,-,acept,not furnished,0,"10,000","1,000",151,"11,150"
1,500,5,7,5,22,acept,not furnished,"5,500","14,000","2,084",178,"21,760"
1,110,3,3,3,4,acept,not furnished,"1,195","2,350",670,30,"4,245"
1,196,4,4,0,11,acept,not furnished,"2,450","6,000","1,458",77,"9,985"
